DisNo.,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI
2005-0011-GBR,No,No,No,,,,500000.0,780120.0,650000.0,1014155.0,64.09274025742687
2005-0011-IRL,No,No,No,,,,,,,,64.09274025742687
2005-0011-LTU,No,No,No,,,,6000.0,9361.0,30000.0,46807.0,64.09274025742687
2005-0011-LVA,No,No,No,,,,40000.0,62410.0,325000.0,507078.0,64.09274025742687
2005-0011-NLD,No,No,No,,,,,,,,64.09274025742687
2005-0011-NOR,No,No,No,,,,40000.0,62410.0,130000.0,202831.0,64.09274025742687
2005-0011-POL,No,No,No,,,,,,,,64.09274025742687
2005-0011-RUS,No,No,No,,,,,,,,64.09274025742687
2005-0011-SWE,No,No,No,,,,650000.0,1014155.0,2800000.0,4368670.0,64.09274025742687
2005-0014-AUS,No,No,No,,,,20000.0,31205.0,40000.0,62410.0,64.09274025742687
